country,dir,time,number
Qatar,Export,11/1/2020,1753.712762
Qatar,Export,12/1/2020,2314.81408
Qatar,Export,1/1/2021,1815.650615
Qatar,Export,2/1/2021,1644.228777
Qatar,Export,3/1/2021,1597.230747
Saudi Arabia,Export,6/1/2020,19843.77407
Saudi Arabia,Export,7/1/2020,17846.30732
Saudi Arabia,Export,8/1/2020,18320.61173
Saudi Arabia,Export,9/1/2020,16494.00503
Saudi Arabia,Export,10/1/2020,16690.71376
Saudi Arabia,Export,11/1/2020,18491.17822
Saudi Arabia,Export,12/1/2020,19145.68455
Saudi Arabia,Export,1/1/2021,17771.86343
Saudi Arabia,Export,2/1/2021,14206.51153
Saudi Arabia,Export,3/1/2021,12153.7839
Singapore,Export,6/1/2020,0.00001
Singapore,Export,7/1/2020,37384.44787
Singapore,Export,8/1/2020,32776.31944
Singapore,Export,9/1/2020,30696.64578
Singapore,Export,10/1/2020,33364.81954
Singapore,Export,11/1/2020,38050.98724
Singapore,Export,12/1/2020,44630.07707
Singapore,Export,1/1/2021,31687.73656
Singapore,Export,2/1/2021,21867.64274
Singapore,Export,3/1/2021,27893.5478
South Korea,Export,6/1/2020,0.00001
South Korea,Export,7/1/2020,68615.7402
South Korea,Export,8/1/2020,62762.16799
South Korea,Export,9/1/2020,68775.14202
South Korea,Export,10/1/2020,68088.64166
South Korea,Export,11/1/2020,71071.55568
South Korea,Export,12/1/2020,77304.1272
South Korea,Export,1/1/2021,74867.4044
South Korea,Export,2/1/2021,56135.19663
South Korea,Export,3/1/2021,75001.33504
Sri Lanka,Export,6/1/2020,1977.218297
Sri Lanka,Export,7/1/2020,2263.882373
Sri Lanka,Export,8/1/2020,2261.208539
Sri Lanka,Export,9/1/2020,2505.193749
Sri Lanka,Export,10/1/2020,2658.417676
Sri Lanka,Export,11/1/2020,2436.106996
Sri Lanka,Export,12/1/2020,3278.037486
Sri Lanka,Export,1/1/2021,2847.432563
Sri Lanka,Export,2/1/2021,2197.07195
Sri Lanka,Export,3/1/2021,2276.541608
Syrian Arab Rep.,Export,6/1/2020,592.962379
Syrian Arab Rep.,Export,7/1/2020,445.547404
Syrian Arab Rep.,Export,8/1/2020,364.355532
Syrian Arab Rep.,Export,9/1/2020,457.292584
Syrian Arab Rep.,Export,10/1/2020,379.777095
Syrian Arab Rep.,Export,11/1/2020,578.864964
Syrian Arab Rep.,Export,12/1/2020,475.619203
Syrian Arab Rep.,Export,1/1/2021,358.968289
Syrian Arab Rep.,Export,2/1/2021,319.999385
Syrian Arab Rep.,Export,3/1/2021,158.587853
Thailand,Export,6/1/2020,0.00001
Thailand,Export,7/1/2020,33649.73358
Thailand,Export,8/1/2020,30716.43854
Thailand,Export,9/1/2020,30666.72085
Thailand,Export,10/1/2020,28373.68182
Thailand,Export,11/1/2020,31467.38857
Thailand,Export,12/1/2020,35801.52491
Thailand,Export,1/1/2021,36470.27133
Thailand,Export,2/1/2021,25876.20137
Thailand,Export,3/1/2021,34022.92032
Turkey,Export,6/1/2020,10961.64828
Turkey,Export,7/1/2020,12753.5431
Turkey,Export,8/1/2020,12208.46699
Turkey,Export,9/1/2020,12641.60244
Turkey,Export,10/1/2020,11449.25102
Turkey,Export,11/1/2020,13729.95524
Turkey,Export,12/1/2020,14762.83515
Turkey,Export,1/1/2021,14112.4215
Turkey,Export,2/1/2021,12428.6783
Turkey,Export,3/1/2021,13976.65095
United Arab Emirates,Export,6/1/2020,18567.88983
United Arab Emirates,Export,7/1/2020,19189.83576
United Arab Emirates,Export,8/1/2020,20155.67513
United Arab Emirates,Export,9/1/2020,19100.42033
United Arab Emirates,Export,10/1/2020,19657.93902
United Arab Emirates,Export,11/1/2020,21870.96993
United Arab Emirates,Export,12/1/2020,23062.66222
United Arab Emirates,Export,1/1/2021,23685.88192
United Arab Emirates,Export,2/1/2021,17120.99796
United Arab Emirates,Export,3/1/2021,19014.62773
Yemen,Export,6/1/2020,1756.260731
Yemen,Export,7/1/2020,1886.628803
Yemen,Export,8/1/2020,1515.64956
Yemen,Export,9/1/2020,1368.616808
Yemen,Export,10/1/2020,1694.464528
Yemen,Export,11/1/2020,1964.514254
Yemen,Export,12/1/2020,1911.803123
Yemen,Export,1/1/2021,1703.47827
Yemen,Export,2/1/2021,895.228183
Yemen,Export,3/1/2021,979.10171
Vietnam,Export,6/1/2020,0.00001
